"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH4455",4455,"F",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,4,NA,NA,20060327,2,27,3,2006,1,11,16,27,30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Poland",6,14
"Mo08HH4456",4456,"F",5,NA,NA,NA,11,"PL","",NA,NA,"","N",2,1,NA,NA,20060329,2,29,3,2006,3,45,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Poland",3,17
"Mo08HH4457",4457,"M",5,NA,NA,NA,8,"PL","",NA,NA,"","Y",3,2,NA,NA,20060401,2,1,4,2006,6,10,15,23,28,43,52,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Poland",8,14
"Mo08HH4458",4458,"F",5,NA,NA,NA,7,"PL","",NA,NA,"","N",1,1,NA,NA,20060402,2,2,4,2006,0,3,17,21,43,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Poland",6,13
"Mo08HH4459",4459,"M",5,NA,NA,NA,4,"PL","",NA,NA,"","N",2,2,NA,NA,20060329,2,29,3,2006,3,7,36,36,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Poland",5,10
"Mo08HH446",446,"M",1,5,3,11,NA,"IT","",NA,NA,"","",NA,NA,NA,NA,20060528,1,28,5,2006,0,3,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",4,44
"Mo08HH4460",4460,"F",5,NA,NA,NA,9,"PL","",NA,NA,"","N",2,2,NA,NA,20060330,2,30,3,2006,4,44,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Poland",4,15
"Mo08HH4461",4461,"M",5,NA,NA,NA,6,"PL","",NA,NA,"","N",2,3,NA,NA,20060327,2,27,3,2006,1,30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Poland",3,12
"Mo08HH4462",4462,"F",5,NA,NA,NA,9,"PL","",NA,NA,"","N",2,2,NA,NA,20060402,2,2,4,2006,0,5,8,35,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Poland",5,15
"Mo08HH4463",4463,"M",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,2,NA,NA,20060330,2,30,3,2006,4,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Poland",3,14
"Mo08HH4464",4464,"F",5,NA,NA,NA,6,"PL","",NA,NA,"","N",2,1,NA,NA,20060331,2,31,3,2006,5,33,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Poland",3,12
"Mo08HH4465",4465,"M",5,NA,NA,NA,9,"PL","",NA,NA,"","N",1,1,NA,NA,20060401,2,1,4,2006,6,44,42,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Poland",5,15
"Mo08HH4466",4466,"M",5,NA,NA,NA,9,"PL","",NA,NA,"","N",2,3,NA,NA,20060401,2,1,4,2006,6,39,40,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Poland",5,15
